iter	RMSE
0	0.3980500682
1	0.3968250688
2	0.395583479
3	0.3944356702
4	0.3931927448
5	0.3919355141
6	0.3908244756
7	0.3896187538
8	0.3884535537
9	0.3872925731
10	0.3861871399
11	0.3849495579
12	0.383778766
13	0.382574135
14	0.3813327021
15	0.3802238956
16	0.3790689923
17	0.3780032659
18	0.3768837782
19	0.3757399052
20	0.3746123459
21	0.3734637319
22	0.3722860853
23	0.3711905366
24	0.3699812563
25	0.3688684085
26	0.3677600499
27	0.3667535738
28	0.3656432824
29	0.3645701173
30	0.3635572137
31	0.3624728991
32	0.3613815464
33	0.3602760266
34	0.3592752826
35	0.3582840418
36	0.3573180058
37	0.356300861
38	0.3553102163
39	0.3542459766
40	0.3532377819
41	0.3521768075
42	0.3511585924
43	0.3501262657
44	0.3490804376
45	0.3481061067
46	0.3471558712
47	0.3461308345
48	0.3451151248
49	0.3441781522
50	0.3431702619
51	0.34221686
52	0.3412255895
53	0.3402534227
54	0.3392216073
55	0.3382914269
56	0.33732794
57	0.336370744
58	0.335450162
59	0.3344967321
60	0.3335477053
61	0.3326423027
62	0.3317368197
63	0.3308002137
64	0.3299379574
65	0.3290296449
66	0.3280986832
67	0.3272325615
68	0.3263405926
69	0.3255342829
70	0.3247248857
71	0.3238380069
72	0.3228957891
73	0.3220837233
74	0.3211825558
75	0.3202843454
76	0.319406009
77	0.3185848121
78	0.3177967911
79	0.3169033269
80	0.3160965637
81	0.3152481508
82	0.3143634426
83	0.3135599951
84	0.3127610781
85	0.3119938371
86	0.3112421462
87	0.310374107
88	0.3094995643
89	0.3086867768
90	0.307801694
91	0.3069694182
92	0.3061909937
93	0.3054203533
94	0.3046731678
95	0.3039481641
96	0.303158098
97	0.3023832512
98	0.3015679434
99	0.3008393329
100	0.3001486524
101	0.2994918204
102	0.2987419458
103	0.297926349
104	0.2971851306
105	0.2963438781
106	0.2956400513
107	0.2949047792
108	0.2942113128
109	0.2934510467
110	0.2927096577
111	0.292013033
112	0.2912844059
113	0.2906035064
114	0.289864151
115	0.289232762
116	0.2885024452
117	0.287842618
118	0.2872264948
119	0.2864993995
120	0.2858553707
121	0.2851826569
122	0.2845210485
123	0.2838758872
124	0.2831727133
125	0.2825499866
126	0.2818339072
127	0.2811093559
128	0.2804677272
129	0.2797869833
130	0.2791006162
131	0.2784388938
132	0.2777224928
133	0.277025076
134	0.2763795443
135	0.2756992292
136	0.2749826321
137	0.2743709276
138	0.2736848385
139	0.2730885627
140	0.2724031654
141	0.2718277393
142	0.2711790804
143	0.2705266508
144	0.2698550242
145	0.2692248737
146	0.2686443622
147	0.26811056
148	0.267474313
149	0.266822494
150	0.2662063337
151	0.2655276329
152	0.2649474046
153	0.2642907376
154	0.2637289504
155	0.2631080379
156	0.2625211492
157	0.261949682
158	0.2613522179
159	0.2607554277
160	0.2601398091
161	0.2595231045
162	0.2589527602
163	0.258319345
164	0.2577110165
165	0.2571357937
166	0.2565772509
167	0.2560435631
168	0.2555059503
169	0.2549196844
170	0.2543588706
171	0.2538461909
172	0.2532669878
173	0.2527062989
174	0.2521909193
175	0.2516546531
176	0.2510651258
177	0.250555862
178	0.2500773893
179	0.2495509297
180	0.2489636362
181	0.2484284275
182	0.247930333
183	0.2474616609
184	0.2469577323
185	0.2463749367
186	0.2458232372
187	0.2452630257
188	0.2447666753
189	0.2442197978
190	0.2436862567
191	0.2432177629
192	0.2427685508
193	0.2422269298
194	0.2417776307
195	0.2413405619
196	0.2408199193
197	0.2403772161
198	0.2398399622
199	0.2393890252
200	0.2388662974
201	0.238417218
202	0.2379172812
203	0.2374825624
204	0.2370909501
205	0.2366346318
206	0.236161783
207	0.2356489794
208	0.2351673121
209	0.2346763679
210	0.2342262801
211	0.2337810899
212	0.2333045258
213	0.2328278626
214	0.2323677166
215	0.2319189684
216	0.2314170113
217	0.2309937647
218	0.2305759282
219	0.2300960438
220	0.2296240444
221	0.2291517968
222	0.2287224158
223	0.2282544713
224	0.2277917234
225	0.2273451125
226	0.2269476062
227	0.226537446
228	0.2260914594
229	0.225639883
230	0.2252087159
231	0.2248250846
232	0.2244231214
233	0.2239653554
234	0.2235607987
235	0.2231293034
236	0.2226923564
237	0.2222556267
238	0.2218272626
239	0.2213937422
240	0.220948191
241	0.2205599636
242	0.2202221715
243	0.219820309
244	0.2194090697
245	0.2189924455
246	0.2185977645
247	0.2182430602
248	0.2178302121
249	0.2174089651
250	0.2170289336
251	0.2166426662
252	0.2162705982
253	0.2158488719
254	0.2154775474
255	0.215082454
256	0.2146665886
257	0.2142836269
258	0.2138848101
259	0.213481912
260	0.2131253067
261	0.2127395518
262	0.2123600788
263	0.2119920326
264	0.2116448516
265	0.2112806587
266	0.2109459479
267	0.2105878089
268	0.210219407
269	0.2098498173
270	0.2095091005
271	0.2091570306
272	0.208792871
273	0.2084213346
274	0.2080962714
275	0.2077614385
276	0.2074026155
277	0.2070741025
278	0.2067074208
279	0.2063621162
280	0.2060002556
281	0.2056701512
282	0.2053466679
283	0.204993099
284	0.20463576
285	0.2042955946
286	0.2039590403
287	0.2036395268
288	0.2033466254
289	0.2030186676
290	0.2026635268
291	0.2023637687
292	0.2020519543
293	0.2017530882
294	0.2014141747
